sample	ccoreid	depth	potential name	reads	bases	Perc_N	Perc_C	CN	IndexI	IndexII	Treatment
s_SW1601-10	SW1601	10	SW1601-10	103838418	15559552016	0.7365	12.9249	20.46445782	0.927050464	1.468396451	Fertilized
s_SW1601-110	SW1601	110	SW1601-110	79826244	11964436579	0.533	11.5629	25.29795195	0.896941538	1.694889708	Fertilized
s_SW1601-20	SW1601	20	SW1601-20	86307880	12935292526	0.8378	17.4341	24.26637917	0.9128421	1.519651253	Fertilized
s_SW1601-30	SW1601	30	SW1601-30	79789980	11950127880	1.1169	17.1384	17.89376735	0.906923665	1.512368467	Fertilized
s_SW1601-130	SW1601	130	SW1601-130	65725104	9851086083	0.7844	14.3682	21.36045907	0.846130446	1.597929545	Fertilized
s_SW1601-40	SW1601	40	SW1601-40	118633872	17781246302	0.8615	12.8993	17.46049952	0.87663358	1.695265771	Fertilized
s_SW1601-150	SW1601	150	SW1601-150	69121418	10359970796	0.352	5.5797	18.48476732	1.04285068	1.68532185	Fertilized
s_SW1601-170	SW1601	170	SW1601-170	48836076	7317781271	0.2112	3.9231	21.6611379	1.009267258	1.828596757	Fertilized
s_SW1601-70	SW1601	70	SW1601-70	73835866	11064604441	0.7876	15.7492	23.3183917	0.881917552	1.545644498	Fertilized
s_SW1601-190	SW1601	190	SW1601-190	86545892	12968099733	0.4571	7.0715	18.04039852	0.975442889	1.689364578	Fertilized
s_SW1601-90	SW1601	90	SW1601-90	86694052	12993157820	0.6982	13.3084	22.22756064	0.869874559	1.666512065	Fertilized
s_SW1601-200	SW1601	200	SW1601-200	140838406	21104343634	1.0834	21.1149	22.72720348	0.747439919	1.454493118	Fertilized
s_SW1601-210	SW1601	210	SW1601-210	103082210	15447390062	0.8548	16.6635	22.7325165	0.818325256	1.538622317	Fertilized
s_SW1602-10	SW1602	10	SW1602-10	114000584	17087403101	0.7859	13.3227	19.76836551	0.937386881	1.560467125	Fertilized
s_SW1601-220	SW1601	220	SW1601-220	53207622	7974214580	0.7103	13.197	21.66602324	0.875218145	1.55814394	Fertilized
s_SW1602-20	SW1602	20	SW1602-20	104481944	15656649848	0.8363	12.8634	17.93657346	0.922354577	1.493835962	Fertilized
s_SW1601-230	SW1601	230	SW1601-230	49528752	7419808508	0.7103	13.197	21.66602324	0.875218145	1.55814394	Fertilized
s_SW1602-30	SW1602	30	SW1602-30	72660874	10891396425	1.081	22.6085	24.38888006	0.847998917	1.404611018	Fertilized
s_SW1602-40	SW1602	40	SW1602-40	90055412	13497929605	0.7566	15.4232	23.77135599	0.951320704	1.475930379	Fertilized
s_SW1601-240	SW1601	240	SW1601-240	117729978	17639162769	0.7818	12.7315	18.99020753	0.897600991	1.7156651	Fertilized
s_SW1602-70	SW1602	70	SW1602-70	97956622	14681358374	0.692	13.2065	22.25499207	0.866265869	1.554941463	Fertilized
s_SW1603-10	SW1603	10	SW1603-10	81585180	12225888485	0.6399	8.7186	15.88841027	0.962838539	1.509744447	Fertilized
s_SW1603-20	SW1603	20	SW1603-20	65235808	9775929529	0.8544	13.937	19.02189863	0.896598292	1.408750566	Fertilized
s_SW1603-30	SW1603	30	SW1603-30	88260476	13229418988	1.3057	19.9334	17.8026142	0.836356377	1.360457964	Fertilized
s_SW1603-40	SW1603	40	SW1603-40	64567502	9678038858	0.7708	10.905	16.49794177	0.884301574	1.664181009	Fertilized
s_SW1603-70	SW1603	70	SW1603-70	71597962	10730884957	0.8827	22.1605	29.2760332	0.843034945	1.552450284	Fertilized
