sample	ccoreid	depth	potential name
s_SW1601-10	SW1601	10	SW1601-10
s_SW1601-110	SW1601	110	SW1601-110
s_SW1601-20	SW1601	20	SW1601-20
s_SW1601-30	SW1601	30	SW1601-30
s_SW1601-130	SW1601	130	SW1601-130
s_SW1601-40	SW1601	40	SW1601-40
s_SW1601-150	SW1601	150	SW1601-150
s_SW1601-170	SW1601	170	SW1601-170
s_SW1601-70	SW1601	70	SW1601-70
s_SW1601-190	SW1601	190	SW1601-190
s_SW1601-90	SW1601	90	SW1601-90
s_SW1601-200	SW1601	200	SW1601-200
s_SW1601-210	SW1601	210	SW1601-210
s_SW1602-10	SW1602	10	SW1602-10
s_SW1601-220	SW1601	220	SW1601-220
s_SW1602-20	SW1602	20	SW1602-20
s_SW1601-230	SW1601	230	SW1601-230
s_SW1602-30	SW1602	30	SW1602-30
s_SW1602-40	SW1602	40	SW1602-40
s_SW1601-240	SW1601	240	SW1601-240
s_SW1602-70	SW1602	70	SW1602-70
s_SW1602-80	SW1602	80	SW1602-80
s_SW1603-10	SW1603	10	SW1603-10
s_SW1603-20	SW1603	20	SW1603-20
s_SW1603-30	SW1603	30	SW1603-30
s_SW1603-40	SW1603	40	SW1603-40
s_SW1603-70	SW1603	70	SW1603-70
s_SW1603-80	SW1603	80	SW1603-80
s_WE1603-110	WE1603	110	WE1603-110
s_WE1603-130	WE1603	130	WE1603-130
s_WE1603-150	WE1603	150	WE1603-150
s_WE1603-170	WE1603	170	WE1603-170
s_WE1603-190	WE1603	190	WE1603-190
s_WE1603-210	WE1603	210	WE1603-210
s_WE1602-10	WE1602	10	WE1602-10
s_WE1603-220	WE1603	220	WE1603-220
s_WE1602-20	WE1602	20	WE1602-20
s_WE1603-230	WE1603	230	WE1603-230
s_WE1602-30	WE1602	30	WE1602-30
s_WE1603-240	WE1603	240	WE1603-240
s_WE1602-40	WE1602	40	WE1602-40
s_WE1602-70	WE1602	70	WE1602-70
s_WE1602-80	WE1602	90	WE1602-80
s_WE1603-10	WE1603	10	WE1603-10
s_WE1603-20	WE1603	20	WE1603-20
s_WE1603-30	WE1603	30	WE1603-30
s_WE1603-40	WE1603	40	WE1603-40
s_WE1603-70	WE1603	70	WE1603-70
s_WE1603-90	WE1603	90	WE1603-90
s_WE1604-10	WE1604	10	WE1604-10
s_WE1604-20	WE1604	20	WE1604-20
s_WE1604-30	WE1604	30	WE1604-30
s_WE1604-40	WE1604	40	WE1604-40
s_WE1604-70	WE1604	70	WE1604-70
s_WE1604-90	WE1604	90	WE1604-90
